Serial,Description,Capacity,Streams,Liters,Lat,Lng,Location,Number of Collections,Collections above 60%,Collections below 60%,Liters per Collection,Collection Response Time
1515457,WMS1177 - A2/2 - Ringsend outside church opp bradley’s pharmacy,HIGH,Waste,2725,53.3420388,-6.227799198,A2/2 - Ringsend outside church opp bradley’s pharmacy,10,50%,50%,272.5,6.9
1516157,WMS1605 - End Of Sir John Rogerson Quay - Opp. Fresh at Bike Rack,HIGH,Waste,1703,53.34560389,-6.230886794,End Of Sir John Rogerson Quay - Opp. Fresh at Bike Rack,8,38%,62%,212.88,7.7
1516450,"WMS1257 - SL1 - Outside Spar, Hanover Quay",HIGH,Waste,1135,53.34407308,-6.236155684,"Outside Spar, Hanover Quay",3,100%,0%,378.33,8.7
1516636,WMS1261 - SL1 - Forbes St corner Hanover Quay,HIGH,Waste,3974,53.34425418,-6.238370892,Forbes St corner Hanover Quay,9,100%,0%,441.56,7.8
1516637,WMS1246 - SL1 - Cardiff Lane - Opp Starbucks - Ropewalk Way,HIGH,Waste,1930,53.34557643,-6.240550655,Cardiff Lane - Opp Starbucks - Ropewalk Way,7,57%,43%,275.71,11.5
1516642,WMS1251 - SL1 - Pearse Street Outside Valentino Restaurant,HIGH,Waste,1816,53.34252042,-6.238727833,Pearse Street Outside Valentino Restaurant,8,50%,50%,227.0,15.0
1516643,WMS1274 - SL2 - Mayor St Opp One Dockland Central,HIGH,Waste,567,53.34850644,-6.240898056,Mayor St Opp One Dockland Central,2,50%,50%,283.5,2.5
1516644,WMS1296 - SL2 - Cluid Housing - Sheriff St. Upper,HIGH,Waste,2157,53.35004446,-6.233154878,Cluid Housing - Sheriff St. Upper,6,83%,17%,359.5,11.0
1516646,WMS1250 - SL1 - Bus Stop 353 Pearse St.,HIGH,Waste,1703,53.34282315,-6.239782327,Bus Stop 353 Pearse St.,5,100%,0%,340.6,2.8
1516647,WMS1247 - SL1 - Facebook - Cardiff Lane,HIGH,Waste,4088,53.34457987,-6.240609547,Facebook - Cardiff Lane,12,75%,25%,340.67,10.7
1516648,WMS1262 - SL1 - Ringsend Rd At Bus Stop 354,HIGH,Waste,4428,53.34212619,-6.236523373,Ringsend Rd At Bus Stop 354,11,100%,0%,402.55,7.4
1516649,WMS1281 - At Junction Of Mayor Street And Castleforbes At Bike Rack And Bench,HIGH,Waste,2498,53.34842557,-6.232028096,At Junction Of Mayor Street And Castleforbes At Bike Rack And Bench,9,67%,33%,277.56,10.6
1516832,"WMS1282 - SL2 - Opposite Insomnia Coffee, Mayor St Upper",HIGH,Waste,1135,53.34848974,-6.23036048,"Opposite Insomnia Coffee, Mayor St Upper",3,100%,0%,378.33,8.5
1516834,WMS1277 - SL2 - Guild St - Luke Kelly Statue,HIGH,Waste,4201,53.34983693,-6.240448259,Guild St - Luke Kelly Statue,10,90%,10%,420.1,10.0
1516838,WMS1255 - SL1 - Hanover Quay Opposute Accenture,HIGH,Waste,340,53.3439665,-6.234670783,Hanover Quay Opposute Accenture,2,50%,50%,170.0,15.0
1516841,"WMS1258 - SL1 - Outside Milano, Hanover Quay",HIGH,Waste,1135,53.3441274,-6.2370703,"Outside Milano, Hanover Quay",3,100%,0%,378.33,9.0
1516843,WMS1308 - SL1 - Creighton Street Outside Eurospar,HIGH,Waste,10334,53.34526504,-6.246601956,Creighton Street Outside Eurospar,32,59%,41%,322.94,7.6
1516846,WMS1299 - City Quay Grant Thornton,HIGH,Waste,2839,53.3471199,-6.250568859,City Quay Grant Thornton,10,40%,60%,283.9,7.7
1516847,WMS1284 - SL2 - New Wapping St outside Central Bank,HIGH,Waste,794,53.34789371,-6.235344284,New Wapping St outside Central Bank,3,33%,67%,264.67,2.9
1516848,"WMS1271 - SL2 - Custom House Sq, Mayor St Lower - Medical Centre",HIGH,Waste,2839,53.3492814,-6.244821711,"Custom House Sq, Mayor St Lower - Medical Centre",10,70%,30%,283.9,6.0
1516850,WMS1266 - A2/1 - Barrow St Outside Spar,HIGH,Waste,7835,53.3401835,-6.236569547,A2/1 - Barrow St Outside Spar,26,54%,46%,301.35,8.6
1516988,WMS1284 - SL2 - New Wapping Street Junction Mayor Street Upper,HIGH,Waste,3974,53.34891333,-6.235226254,New Wapping Street Junction Mayor Street Upper,9,89%,11%,441.56,7.8
1516992,"WMS1260 - SL1 - Outside AIB, Hannover Quay",HIGH,Waste,1135,53.34422341,-6.237571418,"Outside AIB, Hannover Quay",3,100%,0%,378.33,6.9
1516994,WMS1285 - SL2 - Mayor Street Opposite EBS,HIGH,Waste,3974,53.34911165,-6.242143557,Mayor Street Opposite EBS,10,90%,10%,397.4,11.0
1516995,WMS1269 - SL2 - Mayor St Lower Opposite Bank Of Ireland,HIGH,Waste,3520,53.34933064,-6.245674092,Mayor St Lower Opposite Bank Of Ireland,11,73%,27%,320.0,10.8
1516996,WMS1283 - SL2 - Mayor St. - On Bridge - beside Retail Units & Canal Walkway Entrance,HIGH,Waste,2044,53.34879094,-6.240082447,Mayor St. - On Bridge - beside Retail Units & Canal Walkway Entrance,20,20%,80%,102.2,8.5
1516998,WMS1256 - SL1 - Beside 6 Hanover Quay,HIGH,Waste,1362,53.34413716,-6.235525165,Beside 6 Hanover Quay,4,100%,0%,340.5,10.0
1517007,WMS1280 - SL2 - Castleforbes St Outside Spar,HIGH,Waste,2839,53.34916658,-6.231917362,Castleforbes St Outside Spar,10,60%,40%,283.9,12.0
1517008,WMS1249 - SL1 - Macken St Outside Educo Gym,HIGH,Waste,2271,53.34289739,-6.240999495,Macken St Outside Educo Gym,7,86%,14%,324.43,10.8
1517011,WMS1263 - SL1 - Charlotte Quay Dock Beside Illuminated Sign,HIGH,Waste,2952,53.34222183,-6.236415593,Charlotte Quay Dock Beside Illuminated Sign,8,88%,12%,369.0,4.5
1517013,"WMS1287 - SL2 - Harbourmaster Place, Georges Dock",HIGH,Waste,794,53.34996439,-6.250635787,"Harbourmaster Place, Georges Dock",3,67%,33%,264.67,16.5
1517015,WMS1252 - SL1 - Opposite Il Valentino Bakery,HIGH,Waste,1930,53.34238641,-6.238667214,Opposite Il Valentino Bakery,6,83%,17%,321.67,11.0
