Serial,Collection Day,Location,Collection Number,Lat,Lng,Color
500100114,11,At Junction Of Castleforbes St And Mayor St,1,53.34852613,-6.231812909,"[128, 128, 128]"
500100105,30,Junction Vinegar Walk Mayor St,5,53.34866123,-6.233932525,"[128, 128, 128]"
500100105,25,Junction Vinegar Walk Mayor St,4,53.34866123,-6.233932525,"[128, 128, 128]"
500100105,20,Junction Vinegar Walk Mayor St,3,53.34866123,-6.233932525,"[128, 128, 128]"
500100105,15,Junction Vinegar Walk Mayor St,2,53.34866123,-6.233932525,"[128, 128, 128]"
500100105,8,Junction Vinegar Walk Mayor St,1,53.34866123,-6.233932525,"[128, 128, 128]"
500004318,25,Outside Bond House - New Wapping Street,5,53.3497424,-6.235164313,"[128, 128, 128]"
500004318,22,Outside Bond House - New Wapping Street,4,53.3497424,-6.235164313,"[128, 128, 128]"
500004318,18,Outside Bond House - New Wapping Street,3,53.3497424,-6.235164313,"[128, 128, 128]"
500004318,9,Outside Bond House - New Wapping Street,2,53.3497424,-6.235164313,"[128, 128, 128]"
500004318,3,Outside Bond House - New Wapping Street,1,53.3497424,-6.235164313,"[128, 128, 128]"
500004312,30,At Junction Of Sherrif Street Upper And New Wapping Street,8,53.35018867,-6.234970438,"[128, 128, 128]"
500004312,28,At Junction Of Sherrif Street Upper And New Wapping Street,7,53.35018867,-6.234970438,"[128, 128, 128]"
500004312,22,At Junction Of Sherrif Street Upper And New Wapping Street,6,53.35018867,-6.234970438,"[128, 128, 128]"
500004312,18,At Junction Of Sherrif Street Upper And New Wapping Street,5,53.35018867,-6.234970438,"[128, 128, 128]"
500004312,15,At Junction Of Sherrif Street Upper And New Wapping Street,4,53.35018867,-6.234970438,"[128, 128, 128]"
500004312,9,At Junction Of Sherrif Street Upper And New Wapping Street,3,53.35018867,-6.234970438,"[128, 128, 128]"
500004312,5,At Junction Of Sherrif Street Upper And New Wapping Street,2,53.35018867,-6.234970438,"[128, 128, 128]"
500004312,3,At Junction Of Sherrif Street Upper And New Wapping Street,1,53.35018867,-6.234970438,"[128, 128, 128]"
1530160,30,Mayor St. - Spar - Recycler,4,53.3493948,-6.244817935,"[128, 128, 128]"
1530160,18,Mayor St. - Spar - Recycler,3,53.3493948,-6.244817935,"[128, 128, 128]"
1530160,10,Mayor St. - Spar - Recycler,2,53.3493948,-6.244817935,"[128, 128, 128]"
1530160,6,Mayor St. - Spar - Recycler,1,53.3493948,-6.244817935,"[128, 128, 128]"
1530159,23,Hannover Quay - Spar - Recycler,3,53.34414773,-6.236308459,"[128, 128, 128]"
1530159,13,Hannover Quay - Spar - Recycler,2,53.34414773,-6.236308459,"[128, 128, 128]"
1530159,2,Hannover Quay - Spar - Recycler,1,53.34414773,-6.236308459,"[0, 255, 0]"
1530158,10,Connolly Station - Harbour Master Place - Recycler,1,53.35000561,-6.250277905,"[128, 128, 128]"
1530151,20,Opp. CHQ - DCC Docklands Office - Recyler,3,53.3479832,-6.247871295,"[128, 128, 128]"
1530151,13,Opp. CHQ - DCC Docklands Office - Recyler,2,53.3479832,-6.247871295,"[128, 128, 128]"
1530151,7,Opp. CHQ - DCC Docklands Office - Recyler,1,53.3479832,-6.247871295,"[128, 128, 128]"
1530139,21,Barrow St - Grand Canal Dock Dart Station - Recycler,3,53.33941736,-6.236648932,"[128, 128, 128]"
1530139,10,Barrow St - Grand Canal Dock Dart Station - Recycler,2,53.33941736,-6.236648932,"[128, 128, 128]"
1530139,9,Barrow St - Grand Canal Dock Dart Station - Recycler,1,53.33941736,-6.236648932,"[128, 128, 128]"
1530129,15,North Wall Quay - Opp. Convention Centre - Recycler,3,53.34738507,-6.239812346,"[128, 128, 128]"
1530129,5,North Wall Quay - Opp. Convention Centre - Recycler,2,53.34738507,-6.239812346,"[128, 128, 128]"
1530129,4,North Wall Quay - Opp. Convention Centre - Recycler,1,53.34738507,-6.239812346,"[128, 128, 128]"
1528870,23,Outside Connolly Station - Inbound At Bus Stops.,14,53.35061066,-6.250205161,"[0, 255, 0]"
1528870,19,Outside Connolly Station - Inbound At Bus Stops.,13,53.35061066,-6.250205161,"[0, 255, 0]"
1528870,18,Outside Connolly Station - Inbound At Bus Stops.,11,53.35061066,-6.250205161,"[0, 255, 0]"
1528870,14,Outside Connolly Station - Inbound At Bus Stops.,10,53.35061066,-6.250205161,"[0, 255, 0]"
1528870,13,Outside Connolly Station - Inbound At Bus Stops.,9,53.35061066,-6.250205161,"[0, 255, 0]"
1528870,12,Outside Connolly Station - Inbound At Bus Stops.,8,53.35061066,-6.250205161,"[0, 255, 0]"
1528870,11,Outside Connolly Station - Inbound At Bus Stops.,7,53.35061066,-6.250205161,"[0, 255, 0]"
1528870,10,Outside Connolly Station - Inbound At Bus Stops.,6,53.35061066,-6.250205161,"[0, 255, 0]"
1528870,7,Outside Connolly Station - Inbound At Bus Stops.,5,53.35061066,-6.250205161,"[0, 255, 0]"
1528870,6,Outside Connolly Station - Inbound At Bus Stops.,4,53.35061066,-6.250205161,"[0, 255, 0]"
1528870,5,Outside Connolly Station - Inbound At Bus Stops.,3,53.35061066,-6.250205161,"[0, 255, 0]"
1528870,4,Outside Connolly Station - Inbound At Bus Stops.,1,53.35061066,-6.250205161,"[128, 128, 128]"
1520625,19,WiFi Left - Famine Memorial - Opp. IFSC House,2,53.3479804,-6.249553554,"[128, 128, 128]"
1520625,3,WiFi Left - Famine Memorial - Opp. IFSC House,1,53.3479804,-6.249553554,"[128, 128, 128]"
1520624,17,Wifi Right - Famine Memorial - Opp. IFSC House,2,53.34796454,-6.249508339,"[128, 128, 128]"
1520624,2,Wifi Right - Famine Memorial - Opp. IFSC House,1,53.34796454,-6.249508339,"[128, 128, 128]"
1518373,22,"Opp A & L Goodbody, North Wall Quay",4,53.34764834,-6.242726906,"[128, 128, 128]"
1518373,16,"Opp A & L Goodbody, North Wall Quay",3,53.34764834,-6.242726906,"[128, 128, 128]"
1518373,9,"Opp A & L Goodbody, North Wall Quay",2,53.34764834,-6.242726906,"[128, 128, 128]"
1518373,2,"Opp A & L Goodbody, North Wall Quay",1,53.34764834,-6.242726906,"[128, 128, 128]"
1518369,30,"Beside Pwc, North Wall Quay",7,53.34758024,-6.239169119,"[128, 128, 128]"
1518369,21,"Beside Pwc, North Wall Quay",6,53.34758024,-6.239169119,"[128, 128, 128]"
1518369,15,"Beside Pwc, North Wall Quay",5,53.34758024,-6.239169119,"[128, 128, 128]"
1518369,10,"Beside Pwc, North Wall Quay",4,53.34758024,-6.239169119,"[128, 128, 128]"
1518369,5,"Beside Pwc, North Wall Quay",3,53.34758024,-6.239169119,"[0, 255, 0]"
1518369,4,"Beside Pwc, North Wall Quay",2,53.34758024,-6.239169119,"[128, 128, 128]"
1518369,1,"Beside Pwc, North Wall Quay",1,53.34758024,-6.239169119,"[0, 255, 0]"
1518368,30,"Opposite J P Morgan, N Wall Quay corner Castleforbes Rd",8,53.34707287,-6.23221173,"[128, 128, 128]"
1518368,21,"Opposite J P Morgan, N Wall Quay corner Castleforbes Rd",7,53.34707287,-6.23221173,"[128, 128, 128]"
1518368,17,"Opposite J P Morgan, N Wall Quay corner Castleforbes Rd",6,53.34707287,-6.23221173,"[128, 128, 128]"
1518368,12,"Opposite J P Morgan, N Wall Quay corner Castleforbes Rd",5,53.34707287,-6.23221173,"[0, 255, 0]"
1518368,5,"Opposite J P Morgan, N Wall Quay corner Castleforbes Rd",4,53.34707287,-6.23221173,"[0, 255, 0]"
1518368,4,"Opposite J P Morgan, N Wall Quay corner Castleforbes Rd",3,53.34707287,-6.23221173,"[0, 255, 0]"
1518368,3,"Opposite J P Morgan, N Wall Quay corner Castleforbes Rd",2,53.34707287,-6.23221173,"[128, 128, 128]"
1518368,1,"Opposite J P Morgan, N Wall Quay corner Castleforbes Rd",1,53.34707287,-6.23221173,"[0, 255, 0]"
1518367,30,Opposite Restaurant Boat,4,53.34727812,-6.237868349,"[128, 128, 128]"
1518367,20,Opposite Restaurant Boat,3,53.34727812,-6.237868349,"[128, 128, 128]"
1518367,4,Opposite Restaurant Boat,2,53.34727812,-6.237868349,"[128, 128, 128]"
1518367,3,Opposite Restaurant Boat,1,53.34727812,-6.237868349,"[128, 128, 128]"
1518366,20,Green Area Left Of Convention Centre,2,53.34775374,-6.240744181,"[128, 128, 128]"
1518366,10,Green Area Left Of Convention Centre,1,53.34775374,-6.240744181,"[128, 128, 128]"
1518365,21,North Wall Quay Inbound Outside Eddie Rockets,3,53.34790343,-6.243672766,"[128, 128, 128]"
