colour_name,colour,x,y,latitude,longitude
green,"[96, 184, 23]",1506,1680,53.30511860162232,-6.268930757379408
green,"[96, 184, 23]",1454,1680,53.30512050050957,-6.27452034171716
green,"[96, 184, 23]",1415,1680,53.30512192467501,-6.278712529970475
green,"[96, 184, 23]",1364,1680,53.30512378704519,-6.284194622301732
green,"[96, 184, 23]",1480,1667,53.30594682588541,-6.271714770414694
green,"[96, 184, 23]",1441,1667,53.30594825005084,-6.275906958668009
green,"[96, 184, 23]",1415,1667,53.305949199494464,-6.278701750836885
green,"[96, 184, 23]",1377,1667,53.30595058714284,-6.282786447083704
green,"[96, 184, 23]",1364,1667,53.305951061864654,-6.284183843168142
green,"[96, 184, 23]",1287,1667,53.30595387367846,-6.292460727668276
green,"[96, 184, 23]",1519,1654,53.30677267653943,-6.26751180302779
green,"[96, 184, 23]",1428,1654,53.30677599959211,-6.277293575618857
green,"[96, 184, 23]",1428,1641,53.307603274411576,-6.277282796485267
green,"[96, 184, 23]",1364,1641,53.307605611503575,-6.284162284900963
green,"[96, 184, 23]",1338,1641,53.3076065609472,-6.286957077069839
green,"[96, 184, 23]",1274,1641,53.3076088980392,-6.293836565485535
green,"[96, 184, 23]",1686,1628,53.308421127828915,-6.2495390796759045
green,"[96, 184, 23]",1673,1628,53.30842160255073,-6.2509364757603425
green,"[96, 184, 23]",1635,1628,53.308422990199105,-6.255021172007162
green,"[96, 184, 23]",1622,1628,53.308423464920914,-6.2564185680916
green,"[96, 184, 23]",1583,1628,53.30842488908635,-6.2606107563449145
green,"[96, 184, 23]",1519,1628,53.30842722617835,-6.26749024476061
green,"[96, 184, 23]",1441,1628,53.308430074509225,-6.2758746212672385
green,"[96, 184, 23]",1364,1628,53.30843288632304,-6.2841515057673725
green,"[96, 184, 23]",1351,1628,53.30843336104485,-6.2855489018518105
green,"[96, 184, 23]",1338,1628,53.308433835766664,-6.2869462979362485
green,"[96, 184, 23]",1325,1628,53.30843431048847,-6.2883436940206865
green,"[96, 184, 23]",1686,1615,53.30924840264838,-6.249528300542314
green,"[96, 184, 23]",1660,1615,53.309249352092,-6.25232309271119
green,"[96, 184, 23]",1519,1615,53.30925450099782,-6.267479465627019
green,"[96, 184, 23]",1493,1615,53.30925545044144,-6.270274257795896
green,"[96, 184, 23]",1377,1615,53.30925968642069,-6.282743330549344
green,"[96, 184, 23]",1364,1615,53.3092601611425,-6.284140726633782
green,"[96, 184, 23]",1338,1615,53.30926111058612,-6.286935518802658
green,"[96, 184, 23]",1312,1615,53.30926206002975,-6.289730310971535
green,"[96, 184, 23]",1235,1615,53.30926487184356,-6.298007195471668
green,"[96, 184, 23]",1982,1603,53.31000123189277,-6.2177007166502545
green,"[96, 184, 23]",1699,1603,53.310011566221455,-6.248120954488408
green,"[96, 184, 23]",1673,1603,53.31001251566508,-6.2509157466572844
green,"[96, 184, 23]",1622,1603,53.31001437803526,-6.256397838988542
green,"[96, 184, 23]",1532,1603,53.31001766457089,-6.2660721195731135
green,"[96, 184, 23]",1519,1603,53.3100181392927,-6.267469515657552
green,"[96, 184, 23]",1415,1603,53.3100219370672,-6.278648684333057
green,"[96, 184, 23]",1364,1603,53.31002379943739,-6.284130776664314
green,"[96, 184, 23]",1351,1603,53.3100242741592,-6.285528172748753
green,"[96, 184, 23]",1338,1603,53.31002474888101,-6.286925568833191
green,"[96, 184, 23]",1325,1603,53.31002522360282,-6.288322964917629
green,"[96, 184, 23]",1312,1603,53.31002569832464,-6.289720361002067
green,"[96, 184, 23]",1235,1603,53.31002851013845,-6.297997245502201
green,"[96, 184, 23]",1519,1590,53.310845414112165,-6.267458736523962
green,"[96, 184, 23]",1506,1590,53.310845888833974,-6.2688561326084
green,"[96, 184, 23]",1364,1590,53.31085107425685,-6.284119997530724
green,"[96, 184, 23]",1338,1590,53.31085202370048,-6.286914789699601
green,"[96, 184, 23]",1274,1590,53.310854360792476,-6.293794278115296
green,"[96, 184, 23]",1943,1577,53.31165720569713,-6.221871346636389
green,"[96, 184, 23]",1596,1577,53.311669877117815,-6.259171072890238
green,"[96, 184, 23]",1557,1577,53.31167130128325,-6.263363261143553
green,"[96, 184, 23]",1545,1577,53.311671739488,-6.264653165221496
green,"[96, 184, 23]",1519,1577,53.31167268893162,-6.267447957390372
red,"[235, 52, 0]",1493,1577,53.31167363837525,-6.270242749559248
green,"[96, 184, 23]",1454,1577,53.31167506254069,-6.274434937812563
green,"[96, 184, 23]",1441,1577,53.3116755372625,-6.275832333897001
green,"[96, 184, 23]",1428,1577,53.31167601198431,-6.277229729981439
green,"[96, 184, 23]",1415,1577,53.311676486706126,-6.278627126065877
green,"[96, 184, 23]",1364,1577,53.31167834907631,-6.284109218397135
green,"[96, 184, 23]",1351,1577,53.311678823798125,-6.285506614481573
green,"[96, 184, 23]",1338,1577,53.311679298519934,-6.286904010566011
green,"[96, 184, 23]",1325,1577,53.31167977324175,-6.288301406650449
green,"[96, 184, 23]",1299,1577,53.311680722685374,-6.291096198819325
green,"[96, 184, 23]",1261,1577,53.31168211033375,-6.295180895066145
red,"[235, 52, 0]",2136,1564,53.31247743272353,-6.201114610249217
green,"[96, 184, 23]",2123,1564,53.31247790744535,-6.202512006333655
green,"[96, 184, 23]",2110,1564,53.31247838216716,-6.203909402418093
green,"[96, 184, 23]",1943,1564,53.312484480516595,-6.221860567502799
green,"[96, 184, 23]",1583,1564,53.31249762665909,-6.260557689841087
green,"[96, 184, 23]",1570,1564,53.3124981013809,-6.261955085925525
green,"[96, 184, 23]",1467,1564,53.312501862638335,-6.273026762594535
green,"[96, 184, 23]",1454,1564,53.31250233736015,-6.274424158678973
green,"[96, 184, 23]",1441,1564,53.31250281208196,-6.275821554763411
green,"[96, 184, 23]",1428,1564,53.312503286803775,-6.277218950847849
red,"[235, 52, 0]",1415,1564,53.31250376152558,-6.278616346932287
green,"[96, 184, 23]",1377,1564,53.31250514917396,-6.282701043179107
green,"[96, 184, 23]",1312,1564,53.31250752278302,-6.289688023601297
green,"[96, 184, 23]",2123,1551,53.313305182264806,-6.202501227200065
green,"[96, 184, 23]",2110,1551,53.31330565698662,-6.203898623284504
green,"[96, 184, 23]",2097,1551,53.31330613170843,-6.205296019368942
green,"[96, 184, 23]",2085,1551,53.31330656991318,-6.206585923446885
green,"[96, 184, 23]",2072,1551,53.313307044634996,-6.207983319531323
green,"[96, 184, 23]",1930,1551,53.31331223005787,-6.223247184453647
green,"[96, 184, 23]",1660,1551,53.31332208966474,-6.252270026207363
red,"[235, 52, 0]",1622,1551,53.31332347731311,-6.256354722454182
green,"[96, 184, 23]",1596,1551,53.313324426756736,-6.259149514623059
green,"[96, 184, 23]",1545,1551,53.31332628912693,-6.264631606954316
green,"[96, 184, 23]",1454,1551,53.31332961217961,-6.274413379545383
green,"[96, 184, 23]",1402,1551,53.31333151106686,-6.280002963883136
green,"[96, 184, 23]",1338,1551,53.31333384815886,-6.286882452298831
green,"[96, 184, 23]",1235,1551,53.313337609416294,-6.297954128967841
green,"[96, 184, 23]",1222,1551,53.31333808413811,-6.299351525052279
green,"[96, 184, 23]",1197,1551,53.31333899706467,-6.302038825214661
green,"[96, 184, 23]",2123,1538,53.31413245708427,-6.2024904480664755
green,"[96, 184, 23]",1969,1538,53.31413808071189,-6.219044217066743
red,"[235, 52, 0]",1750,1538,53.31414607794858,-6.242584966489201
green,"[96, 184, 23]",1660,1538,53.3141493644842,-6.252259247073773
green,"[96, 184, 23]",1389,1538,53.314159260608136,-6.2813895808339835
green,"[96, 184, 23]",1377,1538,53.31415969881289,-6.2826794849119265
green,"[96, 184, 23]",1364,1538,53.314160173534695,-6.2840768809963645
green,"[96, 184, 23]",1351,1538,53.31416064825651,-6.2854742770808025
green,"[96, 184, 23]",1338,1538,53.31416112297832,-6.2868716731652405
green,"[96, 184, 23]",1325,1538,53.314161597700135,-6.288269069249679
green,"[96, 184, 23]",1287,1538,53.31416298534851,-6.2923537654964985
green,"[96, 184, 23]",1248,1538,53.31416440951394,-6.2965459537498125
green,"[96, 184, 23]",1171,1538,53.31416722132776,-6.3048228382499465
green,"[96, 184, 23]",2059,1525,53.314962068995726,-6.2093591573485805
green,"[96, 184, 23]",1969,1525,53.314965355531356,-6.219033437933152
green,"[96, 184, 23]",1917,1525,53.314967254418605,-6.224623022270905
green,"[96, 184, 23]",1647,1525,53.314977114025474,-6.253645864024621
green,"[96, 184, 23]",1570,1525,53.31497992583929,-6.261922748524754
green,"[96, 184, 23]",1545,1525,53.31498083876585,-6.2646100486871354
green,"[96, 184, 23]",1493,1525,53.3149827376531,-6.270199633024888
green,"[96, 184, 23]",1467,1525,53.31498368709672,-6.272994425193764
green,"[96, 184, 23]",1402,1525,53.314986060705785,-6.279981405615955
red,"[235, 52, 0]",1261,1525,53.31499120961159,-6.295137778531784
green,"[96, 184, 23]",1248,1525,53.31499168433341,-6.296535174616222
green,"[96, 184, 23]",1235,1525,53.314992159055215,-6.297932570700661
green,"[96, 184, 23]",1209,1525,53.31499310849885,-6.300727362869537
green,"[96, 184, 23]",1094,1525,53.31499730796103,-6.31308894361649
green,"[96, 184, 23]",2085,1513,53.31572475784699,-6.2065544152102365
green,"[96, 184, 23]",2072,1513,53.3157252325688,-6.2079518112946745
green,"[96, 184, 23]",2059,1513,53.31572570729062,-6.2093492073791134
red,"[235, 52, 0]",2046,1513,53.315726182012426,-6.2107466034635515
green,"[96, 184, 23]",2033,1513,53.31572665673424,-6.2121439995479895
red,"[235, 52, 0]",2020,1513,53.31572713145606,-6.2135413956324275
green,"[96, 184, 23]",1943,1513,53.315729943269865,-6.221818280132561
green,"[96, 184, 23]",1930,1513,53.31573041799168,-6.2232156762169994
green,"[96, 184, 23]",1699,1513,53.31573885343311,-6.2480463297174005
green,"[96, 184, 23]",1532,1513,53.31574495178255,-6.265997494802106
green,"[96, 184, 23]",1506,1513,53.31574590122617,-6.2687922869709825
green,"[96, 184, 23]",1377,1513,53.315750611927236,-6.2826587558088685
green,"[96, 184, 23]",1364,1513,53.315751086649044,-6.2840561518933065
green,"[96, 184, 23]",1351,1513,53.31575156137086,-6.285453547977745
green,"[96, 184, 23]",1222,1513,53.315756272071916,-6.299320016815631
green,"[96, 184, 23]",1209,1513,53.31575674679373,-6.300717412900069
green,"[96, 184, 23]",1197,1513,53.31575718499848,-6.302007316978012
green,"[96, 184, 23]",1107,1513,53.315760471534105,-6.311681597562584
green,"[96, 184, 23]",2033,1500,53.316553931553706,-6.212133220414399
green,"[96, 184, 23]",2020,1500,53.316554406275515,-6.213530616498837
green,"[96, 184, 23]",2007,1500,53.31655488099733,-6.214928012583275
green,"[96, 184, 23]",1969,1500,53.316556268645705,-6.219012708830095
green,"[96, 184, 23]",1853,1500,53.31656050462495,-6.231481781583543
green,"[96, 184, 23]",1840,1500,53.31656097934676,-6.232879177667981
green,"[96, 184, 23]",1737,1500,53.3165647406042,-6.243950854336991
green,"[96, 184, 23]",1725,1500,53.31656517880895,-6.245240758414934
green,"[96, 184, 23]",1660,1500,53.316567552418014,-6.252227738837125
green,"[96, 184, 23]",1647,1500,53.31656802713982,-6.253625134921563
green,"[96, 184, 23]",1635,1500,53.316568465344574,-6.254915038999506
red,"[235, 52, 0]",1557,1500,53.316571313675446,-6.263299415506135
red,"[235, 52, 0]",1545,1500,53.3165717518802,-6.264589319584078
green,"[96, 184, 23]",1506,1500,53.31657317604564,-6.268781507837392
green,"[96, 184, 23]",1377,1500,53.31657788674669,-6.282647976675278
green,"[96, 184, 23]",1274,1500,53.31658164800413,-6.293719653344289
green,"[96, 184, 23]",1184,1500,53.316584934539755,-6.30339393392886
green,"[96, 184, 23]",1145,1500,53.316586358705194,-6.307586122182175
green,"[96, 184, 23]",1029,1500,53.31659059468444,-6.320055194935623
green,"[96, 184, 23]",2097,1487,53.317378869281164,-6.205242952865114
green,"[96, 184, 23]",2072,1487,53.31737978220773,-6.207930253027495
green,"[96, 184, 23]",2059,1487,53.31738025692954,-6.209327649111933
green,"[96, 184, 23]",2033,1487,53.31738120637316,-6.212122441280809
green,"[96, 184, 23]",2020,1487,53.31738168109498,-6.213519837365247
red,"[235, 52, 0]",2007,1487,53.31738215581679,-6.214917233449686
green,"[96, 184, 23]",1969,1487,53.31738354346516,-6.219001929696505
green,"[96, 184, 23]",1866,1487,53.3173873047226,-6.230073606365515
green,"[96, 184, 23]",1853,1487,53.31738777944442,-6.231471002449953
green,"[96, 184, 23]",1827,1487,53.31738872888804,-6.234265794618829
green,"[96, 184, 23]",1802,1487,53.3173896418146,-6.23695309478121
green,"[96, 184, 23]",1725,1487,53.317392453628415,-6.245229979281344
green,"[96, 184, 23]",1699,1487,53.31739340307204,-6.24802477145022
green,"[96, 184, 23]",1647,1487,53.31739530195929,-6.253614355787973
green,"[96, 184, 23]",1596,1487,53.31739716432947,-6.25909644811923
green,"[96, 184, 23]",1532,1487,53.31739950142147,-6.265975936534926
green,"[96, 184, 23]",1493,1487,53.31740092558691,-6.27016812478824
green,"[96, 184, 23]",1480,1487,53.31740140030872,-6.271565520872679
green,"[96, 184, 23]",1428,1487,53.31740329919597,-6.277155105210431
green,"[96, 184, 23]",1402,1487,53.3174042486396,-6.279949897379308
green,"[96, 184, 23]",1274,1487,53.317408922823596,-6.293708874210699
green,"[96, 184, 23]",1261,1487,53.317409397545404,-6.295106270295137
green,"[96, 184, 23]",1209,1487,53.31741129643265,-6.30069585463289
green,"[96, 184, 23]",1197,1487,53.3174117346374,-6.301985758710832
green,"[96, 184, 23]",1107,1487,53.317415021173026,-6.311660039295404
red,"[235, 52, 0]",1094,1487,53.31741549589484,-6.313057435379842
green,"[96, 184, 23]",1068,1487,53.317416445338466,-6.315852227548719
green,"[96, 184, 23]",927,1487,53.31742159424427,-6.331008600464548
green,"[96, 184, 23]",914,1487,53.31742206896609,-6.332405996548986
green,"[96, 184, 23]",875,1487,53.31742349313153,-6.336598184802301
green,"[96, 184, 23]",2097,1474,53.31820614410063,-6.205232173731524
green,"[96, 184, 23]",2072,1474,53.31820705702719,-6.207919473893905
green,"[96, 184, 23]",2033,1474,53.31820848119263,-6.212111662147219
red,"[235, 52, 0]",2020,1474,53.31820895591444,-6.213509058231658
green,"[96, 184, 23]",2007,1474,53.31820943063625,-6.214906454316096
green,"[96, 184, 23]",1853,1474,53.318215054263874,-6.231460223316363
green,"[96, 184, 23]",1840,1474,53.31821552898569,-6.232857619400801
green,"[96, 184, 23]",1827,1474,53.3182160037075,-6.234255015485239
green,"[96, 184, 23]",1815,1474,53.31821644191225,-6.235544919563182
green,"[96, 184, 23]",1750,1474,53.31821881552131,-6.242531899985373
green,"[96, 184, 23]",1506,1474,53.31822772568456,-6.268759949570212
green,"[96, 184, 23]",1480,1474,53.31822867512818,-6.271554741739089
